listing_id,date
219261,2017-07-21
219261,2017-08-01
219261,2017-08-06
219261,2017-08-09
219261,2017-08-13
219261,2017-08-17
219261,2017-08-21
219261,2017-08-26
219261,2017-08-28
219261,2017-08-30
219261,2017-09-02
219261,2017-09-06
219261,2017-09-11
219261,2017-09-16
219261,2017-09-21
219261,2017-09-24
219261,2017-09-29
219261,2017-09-30
219261,2017-10-05
219261,2017-10-16
219261,2017-10-22
219261,2017-10-24
219261,2017-10-30
219261,2017-11-03
219261,2017-11-26
219261,2017-12-03
219261,2017-12-18
219261,2017-12-27
219261,2018-01-06
219261,2018-01-24
219261,2018-01-28
219261,2018-02-02
219261,2018-03-15
219261,2018-03-22
219261,2018-03-27
219261,2018-04-03
219261,2018-04-06
219261,2018-04-09
219261,2018-04-25
219261,2018-04-29
219261,2018-05-06
219261,2018-05-14
219261,2018-05-22
219261,2018-05-24
219261,2018-05-26
219261,2018-06-03
219261,2018-06-06
219261,2018-06-11
219261,2018-06-21
219261,2018-06-23
219261,2018-06-25
219261,2018-06-28
219261,2018-06-29
219261,2018-07-12
219261,2018-07-14
219261,2018-07-21
219261,2018-07-28
219261,2018-08-01
219261,2018-08-02
219261,2018-08-03
219261,2018-08-04
219261,2018-08-12
219261,2018-08-16
219261,2018-08-23
219261,2018-08-31
219261,2018-09-03
219261,2018-09-05
219261,2018-09-10
219261,2018-09-24
219261,2018-09-26
219261,2018-09-30
219261,2018-10-06
219261,2018-10-13
219261,2018-10-14
219261,2018-10-16
219261,2018-10-21
219261,2018-10-28
219261,2018-10-31
219261,2018-11-05
219261,2018-11-14
219261,2018-11-19
219261,2018-12-01
219261,2018-12-02
219261,2018-12-10
219261,2018-12-12
219261,2018-12-18
219261,2018-12-27
219261,2018-12-29
219261,2019-01-02
219261,2019-01-05
219261,2019-01-21
219261,2019-01-27
219261,2019-02-01
219261,2019-02-11
219261,2019-02-15
219261,2019-02-24
219261,2019-03-01
